Year,Site,Database_Name,OID_,Latitude,Longitude,County,Park_Size_Ha,AA_N,HL_N,IS_N,Total_N,M_Dragged,Tested,DIN_Bburg,DIN_Babesia,DIN_Ap,Occu_Predicted_ModelAverage,Occu_Predicted_Connectivity,Connect300v1_ParkBuffer1000,HU_Density_Km_Park1000,HU_Density_Km_Park500,HU_Density_Km_Park100,PCT_TCC_PARK_BUFFER1000,PCT_TCC_PARK_BUFFER500,PCT_TCC_PARK_BUFFER100,Prop_Water_ParkBuffer1000,Prop_Water_ParkBuffer500,Prop_Water_ParkBuffer100,Prop_BarrenLand_ParkBuffer1000,Prop_BarrenLand_ParkBuffer500,Prop_BarrenLand_ParkBuffer100,PCT_Impervious_Park1000,PCT_Impervious_Park500,PCT_Impervious_Park100,Road_Density_km_ParkBuffer100,Road_Density_km_ParkBuffer500,Road_Density_km_ParkBuffer1000,PCT_TCC_PARK,Predicted_Connectivity_Water,Predicted_cit,Occu_Predicted_TCC,Occu_Predicted_Impervious
2022,Alley Pond Park,Alley Pond Park,17,40.74559,-73.737046,Queens,268.59,0,0,0,0,1500,0,0,0,0,0.374042215,0.044277852,12.80399833,1756.779112,1558.307353,761.8745454,27.89178781,32.66279505,46.1075784,0.041874593,0.07203072,0.16049652,0,0,0,51.19358863,46.42066317,31.11977352,11695.96398,14702.4349,62829.8179,59.49,0.49,0.07,0.09,0.06
2022,Breezy Park,Breezy Park,32,40.84253,-73.43535,Suffolk,4.41,1,0,9,10,1570,9,1,4,0,0.962963941,0.99928339,71.39384929,364.8663502,340.4045734,262.4233504,39.66001331,40.36905607,21.91256831,0.000443557,0,0,0.00266134,0,0,24.82767798,27.57345635,38.43169399,3378.572151,7365.26142,79860.9522,2.65,1,0.86,0.66,0.94
2022,Brookfield Park,Brookfield Park,1,40.56373,-74.1628,Staten Island,104.11,44,83,48,175,1250,48,25,1,1,0.858679836,0.999973639,87.99935533,1023.257582,895.5894998,750.8810219,23.83143126,24.10068751,12.70731707,0.169825149,0.27145709,0.3931475,0.00554916,0.01086715,0.02845528,36.85655952,27.05788423,16.57723577,10386.39271,12785.3792,450476.459,12.37,1,0.47,0.01,0.45
2022,Brookville Nature Park,Brookville Nature Park,27,40.811323,-73.547102,Nassau,9.54,0,1,67,68,1400,67,34,1,1,0.998402614,0.999999667,109.9787447,53.64886909,54.09378891,55.50552784,53.16845741,50.52973874,62.91373802,0.001726784,0.00111173,0,0.00019186,0,0,9.289140445,8.776542524,6.741214058,5996.046809,5247.99173,161249.242,63.75,1,1,1,1
2022,Captain Tilly Park,Captain Tilly Park,12,40.7122,-73.7996,Queens,3.78,0,0,0,0,1500,0,0,0,0,0.000750658,0.00845859,4.193029905,615.4751719,354.4615332,299.3296459,7.597262733,7.536780772,22.75581395,0,0,0,0,0,0,77.30356742,76.11289148,53.13372093,4728.804308,5500.79073,64127.3467,54.67,0,0,0,0
2022,Christopher Morley Park,Christopher Morley Park,25,40.787156,-73.66235,Nassau,39.5,0,0,14,14,1500,14,0,1,0,0.945188486,0.866874968,37.97178896,233.3189819,230.7445283,229.2511835,43.4672086,47.42347449,50.26491647,0,0,0,0,0,0,36.53678699,31.48749583,25.96062053,8380.909306,8062.93037,53137.455,51.81,0.99,0.84,0.93,0.71
2022,Clark Botanic Gardens,Clark Botanic Gardens,23,40.772314,-73.639775,Nassau,5.49,0,0,0,0,1400,0,0,0,0,0.076210771,0.1525458,19.71075865,427.5283451,370.9807403,389.0693685,33.16517954,34.4122085,40.76884422,0,0,0,0,0,0,42.4570185,43.521262,39.48241206,11224.88646,10152.11,197918.734,60.38,0,0.29,0.34,0.37
2022,Clove Lakes Park,Clove Lakes Park,3,40.61895,-74.11162,Staten Island,80.08,2,0,5,7,1500,3,0,0,0,0.01252068,0.024016549,9.584126576,1637.990582,1417.258117,839.1093753,25.67778566,28.7417378,45.08994709,0.008922235,0.01510177,0.04563492,0.00202778,0.00021887,0.00E+00,51.0341681,46.90763843,27.1005291,7240.126456,13223.1119,94446.8968,61.1,0,0.05,0.04,0.07
2022,Cunningham Park I,Cunningham Park,14,40.728314,-73.766212,Queens,343.63,0,0,1,1,1500,0,0,0,0,0.005967584,0.028520428,10.4823385,10292.26057,11278.74386,9303.101202,26.9260863,34.91942782,51.77861808,0.000455789,0.00087578,0.00206256,0,0,0,53.69097539,45.70456868,28.29872809,11773.34922,17512.1531,454194.418,13.58,0,0.02,0,0.04
2022,Cunningham Park II,Cunningham Park,15,40.74143,-73.76564,Queens,343.63,0,0,0,0,1100,0,0,0,0,0.005967584,0.028520428,10.4823385,10292.26057,11278.74386,9303.101202,26.9260863,34.91942782,51.77861808,0.000455789,0.00087578,0.00206256,0,0,0,53.69097539,45.70456868,28.29872809,11773.34922,17512.1531,454194.418,13.58,0,0.02,0,0.04
