Loc_Nm,Predicted_ModelAverage,Predicted_Connectivity,Connect500_ParkBuffer1000,Connect300v1_ParkBuffer1000,HU_Density_Km_Park1000,PCT_TCC_PARK_BUFFER1000,Prop_Water_ParkBuffer1000,Prop_BarrenLand_ParkBuffer1000,Prop_Water_ParkBuffer500,Prop_BarrenLand_ParkBuffer500,Prop_Water_ParkBuffer100,Prop_BarrenLand_ParkBuffer100,PCT_Impervious_Park1000,PCT_Impervious_Park500,PCT_Impervious_Park100,Road_Density_km_ParkBuffer500
Deep Dale Golf Club,0.978739593,0.880795336,51.8477107,38.61491579,347.7396385,42.73177373,0.01398688,0.000123778,0.00111576,0.00027894,0.001638002,0,24.09827949,23.52357043,15.10728911,1.15751E-05
North Hills Country Club,0.999729722,0.999999956,60.7059967,40.81658705,171.7227114,48.9145748,0.000512295,0,0.000296209,0,0,0,27.35924693,24.66735782,15.59645853,0
Michael J. Tully Park,0.999907504,1,12.6714026,8.342073516,100.1601682,17.26476154,0.013058289,0,0.037438958,0,0.097701149,0,61.88758516,53.42485079,46.06896552,0
Herricks Pond Park,0.998825086,0.999691073,23.0408176,13.33455664,8440.477052,22.39447292,0.001560062,0,0.000722543,0,0,0,57.72921774,53.06213873,43.63225806,0
Old Westbury Gardens,0.002509409,0.020098495,91.1718832,56.2585682,1842.694336,43.60727309,0.001872475,0,0.001668753,0,0.004892966,0,20.63388194,16.81602003,9.294189602,0
Westbury Equestrian Center,0,0,123.514811,83.57644361,163.3122789,44.33713059,0.004622751,0,0.006980803,0,0,0,11.76258874,11.92321117,8.60412758,0
Glen Oaks Club,0.001164913,0.009096225,135.068564,90.40203404,84.3901451,50.7593628,0.003059394,0,0.004004449,0,0.010544815,0,12.85388754,11.77842047,10.09021675,0
SUNY Old Westbury,0.999828704,0.999999986,116.611888,74.95425034,4596.548344,46.85583456,0.002067947,0,0.005087209,0,0,0,13.40827179,13.13735465,9.447667087,0
Meadowbrook Club,0.001220382,0.007234396,88.1525658,54.14664501,5510.442464,40.16103896,0.000831169,0,0.00154185,0,0,0,27.58358442,23.20881057,13.17348809,0
Francke Bird Sanctuary,0.0056507,0.008163291,248.869777,157.7031798,685.9823562,62.21175304,0.000495909,0,0,0,0,0,7.604264815,7.48305821,2.708737864,0
Old Westbury Golf and  Country Club,0.994110295,0.995794064,136.339307,114.6050654,315.4284438,54.42943404,0.00501484,0,0.000444939,0,0,0,13.359738,12.60044494,10.15764222,0
Deere Park,0.136431803,0.562416015,32.7868109,29.71431222,61.81205259,37.8810803,0.005808044,0.000580804,0.001092896,0.001092896,0,0,41.51648033,39.75591985,20.91793313,2.63244E-05
Todt Hill,0.995667734,0.999999906,60.199132,52.90815265,473.5497245,47.94327605,0.015863478,0.000240356,0.024410774,0,0.014388489,0,27.00048071,18.83754209,7.271325797,0
High Rock Park,0.008140396,0.05963995,80.6601397,69.56641389,1389.376879,53.18628454,0.024564995,0,0.03745541,0,0.043887147,0,22.2631781,13.66111772,5.259143156,0
